iter	Passed	Remaining
0	3	2159
1	7	2344
2	12	2635
3	17	2822
4	22	2936
5	27	2975
6	32	2963
7	38	3075
8	45	3206
9	49	3199
10	55	3218
11	61	3279
12	67	3289
13	70	3223
14	76	3230
15	81	3242
16	86	3209
17	91	3210
18	96	3214
19	101	3181
20	106	3179
21	110	3166
22	115	3154
23	121	3164
24	126	3153
25	131	3148
26	137	3171
27	143	3179
28	147	3159
29	152	3155
30	157	3143
31	162	3142
32	168	3146
33	173	3138
34	177	3121
35	183	3133
36	190	3154
37	195	3140
38	199	3129
39	206	3148
40	212	3149
41	217	3143
42	222	3138
43	228	3143
44	233	3141
45	238	3135
46	245	3143
47	251	3159
48	258	3167
49	264	3177
50	269	3166
51	275	3168
52	280	3159
53	285	3147
54	290	3144
55	295	3137
56	300	3129
57	306	3132
58	313	3142
59	319	3145
60	324	3137
61	331	3142
62	337	3140
63	341	3129
64	346	3117
65	352	3120
66	358	3115
67	362	3105
68	370	3121
69	376	3120
70	383	3124
71	388	3115
72	393	3110
73	399	3112
74	405	3112
75	410	3103
76	417	3104
77	424	3115
78	431	3116
79	437	3114
80	444	3119
81	449	3112
82	455	3113
83	463	3120
84	469	3123
85	475	3121
86	480	3112
87	489	3127
88	495	3123
89	502	3125
90	509	3128
91	516	3131
92	522	3127
93	527	3122
94	533	3115
95	540	3118
96	547	3119
97	552	3113
98	558	3106
99	563	3101
100	570	3102
101	577	3101
102	583	3100
103	588	3090
104	595	3089
105	605	3108
106	611	3101
107	617	3101
108	623	3096
109	630	3095
110	636	3089
111	642	3084
112	649	3084
113	655	3080
114	661	3078
115	667	3073
116	676	3083
117	684	3086
118	691	3086
119	697	3081
120	703	3074
121	710	3076
122	718	3076
123	725	3077
124	731	3072
125	736	3061
126	741	3053
127	747	3046
128	752	3037
129	756	3027
130	762	3021
131	767	3011
132	772	3003
133	779	3000
134	785	2997
135	790	2988
136	795	2980
137	803	2979
138	808	2972
139	813	2963
140	818	2956
141	824	2949
142	829	2940
143	834	2931
144	839	2924
145	846	2920
146	850	2911
147	856	2904
148	862	2898
149	866	2889
150	872	2882
151	880	2884
152	885	2878
153	890	2869
154	895	2861
155	901	2855
156	906	2847
157	911	2839
158	916	2831
159	923	2828
160	928	2821
161	934	2814
162	940	2808
163	946	2804
164	953	2804
165	959	2798
166	967	2797
167	973	2791
168	981	2792
169	990	2797
170	997	2793
171	1004	2791
172	1009	2782
173	1016	2779
174	1022	2775
175	1028	2770
176	1034	2764
177	1040	2758
178	1046	2754
179	1056	2758
180	1065	2759
181	1072	2756
182	1079	2755
183	1086	2751
184	1092	2745
185	1098	2741
186	1105	2736
187	1111	2731
188	1116	2722
189	1125	2724
190	1132	2720
191	1138	2716
192	1146	2715
